"family","day","chkov","ref2p","O","A","M"
"A11_15",28,"resistant","susceptible",NA,-5.57198192,-7.65365496
"A11_2",28,"resistant","susceptible",NA,-7.14073192,-6.51755046
"A11_2",30,"resistant","susceptible",-6.55001195,NA,-6.66465235
"A11_2",29,"resistant","susceptible",-7.72551792,-5.78743286,NA
"A11_22",30,"susceptible","susceptible",-6.08931195,NA,-5.52793689
"A11_22",28,"susceptible","susceptible",NA,-6.87168192,-7.78907494
"A11_22",29,"susceptible","susceptible",-6.76996792,-6.54853286,NA
"A11_23",29,"resistant","susceptible",-6.08223286,-4.79742029,NA
"A11_23",30,"resistant","susceptible",-7.12371195,NA,-5.08285235
"A11_23",28,"resistant","susceptible",NA,-4.71532759,-5.66722494
"A11_24",30,"susceptible","susceptible",-6.29081195,NA,-4.10185799
"A11_24",28,"susceptible","susceptible",NA,-5.08127759,-5.39715046
"A11_24",29,"susceptible","susceptible",-6.90205279,-5.04445279,NA
"A11_3",28,"resistant","susceptible",NA,-5.52938192,-7.03375046
"A11_3",30,"resistant","susceptible",-4.81150496,NA,-5.30227948
"A11_3",29,"resistant","susceptible",-7.19845279,-5.58448149,NA
"A11_5",30,"resistant","susceptible",-6.72205496,NA,-5.55362948
"A11_5",28,"resistant","susceptible",NA,-4.93834487,-6.98525496
"A11_5",29,"resistant","susceptible",-8.05126792,-5.97482029,NA
"A11_6",29,"resistant","susceptible",-7.76146792,-5.67783286,NA
"A11_6",28,"resistant","susceptible",NA,-4.80734487,-6.07017494
"A12_1",32,"susceptible","susceptible",-8.11286527,-6.24801527,NA
"A12_1",35,"susceptible","susceptible",NA,-6.2371735,-5.55326212
"A12_1",34,"susceptible","susceptible",NA,-5.87107654,-5.03910945
"A12_1",31,"susceptible","susceptible",NA,-6.55175467,-6.076686
"A12_1",33,"susceptible","susceptible",-8.84073393,NA,-5.87521325
"A12_11",31,"susceptible","susceptible",NA,-5.97883578,-5.5988732
"A12_11",33,"susceptible","susceptible",-8.05141457,NA,-6.33189131
"A12_11",32,"susceptible","susceptible",-6.58219821,-5.87479235,NA
"A12_12",33,"susceptible","resistant",-6.52767618,NA,-5.61807824
